"team_id","team_name","gp","w","l","w_pct","min","e_off_rating","off_rating","e_def_rating","def_rating","e_net_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","e_pace","pace","pace_per40","poss","pie","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","off_rating_rank","def_rating_rank","net_rating_rank","ast_pct_rank","ast_to_rank","ast_ratio_rank","oreb_pct_rank","dreb_pct_rank","reb_pct_rank","tm_tov_pct_rank","efg_pct_rank","ts_pct_rank","pace_rank","pie_rank","date"
1610612756,"Phoenix Suns",1,1,0,1,53,104.5,102.7,98.9,100,5.6,2.7,0.658,1.14,17.4,0.136,0.707,0.461,0.195,0.583,0.624,102,102.34,85.28,113,0.552,1,1,1,1,1,23,4,13,9,27,15,28,13,25,27,5,5,13,10,2024-10-24
1610612757,"Portland Trail Blazers",1,0,1,0,48,94.4,96.3,128.2,128.4,-33.8,-32.1,0.583,1.17,14.5,0.271,0.612,0.426,0.167,0.435,0.494,109.7,108.5,90.42,108,0.324,1,15,15,15,3,27,27,28,18,26,26,20,24,27,20,26,25,1,28,2024-10-24
1610612758,"Sacramento Kings",1,0,1,0,48,112.3,112.7,112,115.8,0.3,-3.1,0.553,2.33,16,0.191,0.83,0.511,0.088,0.53,0.59,103.4,101.5,84.58,102,0.515,1,15,15,15,3,14,21,17,21,4,20,26,2,11,2,14,11,17,13,2024-10-24
1610612759,"San Antonio Spurs",1,0,1,0,48,105.3,103.8,114.2,115.4,-8.9,-11.6,0.769,1.58,20.3,0.286,0.698,0.518,0.181,0.523,0.564,104.3,104.5,87.08,105,0.504,1,15,15,15,3,20,20,22,3,16,4,17,16,10,23,16,16,7,14,2024-10-24
1610612761,"Toronto Raptors",1,0,1,0,48,102.2,102.9,131.5,134.7,-29.3,-31.7,0.694,1.32,16.9,0.385,0.718,0.527,0.184,0.488,0.537,103.6,102,85,103,0.352,1,15,15,15,3,21,28,27,6,21,18,6,10,8,25,20,20,15,27,2024-10-24
1610612762,"Utah Jazz",1,0,1,0,48,115,119.2,119.9,120,-4.9,-0.8,0.525,1.24,14.6,0.388,0.704,0.553,0.163,0.529,0.592,106.4,104.5,87.08,104,0.522,1,15,15,15,3,5,25,15,24,23,25,4,14,3,18,15,10,7,12,2024-10-24
1610612764,"Washington Wizards",1,0,1,0,48,94.5,99,117.4,117.3,-22.9,-18.3,0.659,1.8,18.5,0.286,0.7,0.481,0.146,0.468,0.496,105.9,103.5,86.25,103,0.436,1,15,15,15,3,26,22,25,8,14,10,17,15,20,14,22,24,11,20,2024-10-24
1610612737,"Atlanta Hawks",2,2,0,1,96,117.2,116.7,110,113.5,7.3,3.2,0.641,1.67,17.5,0.286,0.621,0.473,0.143,0.556,0.619,105.9,104.5,87.08,210,0.583,1,1,1,1,2,8,14,11,16,15,16,18,27,25,14,11,8,6,5,2024-10-25
1610612738,"Boston Celtics",1,1,0,1,48,117.4,117.3,94.5,99,22.9,18.3,0.5,1.5,15,0.3,0.714,0.519,0.135,0.561,0.599,105.9,103.5,86.25,104,0.564,19,6,1,1,20,7,3,4,28,20,25,12,12,9,11,10,10,11,6,2024-10-25
1610612751,"Brooklyn Nets",2,0,2,0,96,102.2,106.4,117,116.3,-14.7,-9.9,0.573,1.13,15.6,0.29,0.756,0.497,0.186,0.52,0.559,103.5,101.75,84.79,204,0.381,1,20,26,20,2,21,23,21,21,28,24,16,8,15,27,15,17,16,29,2024-10-25
1610612766,"Charlotte Hornets",2,1,1,0.5,96,113.2,115.6,110.3,114.4,2.9,1.2,0.56,1.2,14.6,0.418,0.67,0.545,0.176,0.514,0.56,102.9,100,83.33,199,0.494,1,6,12,12,2,10,18,14,24,27,27,2,23,3,22,18,16,23,17,2024-10-25
1610612741,"Chicago Bulls",2,1,1,0.5,96,112.9,112.4,110.2,114,2.7,-1.5,0.636,1.81,19,0.22,0.765,0.495,0.143,0.569,0.601,109.6,108,90,217,0.493,1,6,12,12,2,14,16,15,17,12,8,25,7,16,14,8,9,1,18,2024-10-25
1610612739,"Cleveland Cavaliers",2,2,0,1,96,122.3,124.5,100.4,102,22,22.5,0.613,2.19,20.7,0.229,0.673,0.47,0.13,0.63,0.653,102.5,100.75,83.96,200,0.626,1,1,1,1,2,3,7,3,19,5,5,24,22,26,9,1,2,22,2,2024-10-25
1610612742,"Dallas Mavericks",1,1,0,1,48,114.2,115.4,105.3,103.8,8.9,11.6,0.643,2.7,18.1,0.302,0.714,0.482,0.096,0.505,0.535,104.3,104.5,87.08,104,0.496,19,6,1,1,20,11,9,7,13,1,14,11,12,21,2,20,22,6,16,2024-10-25
1610612743,"Denver Nuggets",1,0,1,0,48,84.3,87.9,96.9,104.1,-12.5,-16.2,0.829,1.81,19,0.391,0.683,0.532,0.162,0.393,0.418,104.2,98.5,82.08,99,0.472,19,20,12,20,20,30,10,26,1,11,9,4,20,6,20,30,30,26,20,2024-10-25
1610612765,"Detroit Pistons",2,0,2,0,96,102.5,105.5,112.8,114,-10.3,-8.5,0.618,1.31,17.1,0.293,0.782,0.522,0.181,0.515,0.556,101.7,99.75,83.12,199,0.406,1,20,26,20,2,22,17,20,18,24,19,14,5,8,23,17,18,24,26,2024-10-25
1610612744,"Golden State Warriors",2,2,0,1,96,124.9,125.9,85.7,89.6,39.1,36.3,0.737,2.21,22.5,0.39,0.69,0.554,0.156,0.598,0.621,108.9,106,88.33,212,0.701,1,1,1,1,2,2,2,1,6,4,2,5,19,2,18,5,7,3,1,2024-10-25
1610612745,"Houston Rockets",2,1,1,0.5,96,109.1,113.7,104.1,106.9,5,6.8,0.481,1.44,13.2,0.417,0.645,0.523,0.132,0.478,0.516,105.8,102.25,85.21,205,0.501,1,6,12,12,2,12,11,9,29,21,30,3,25,7,10,23,23,14,13,2024-10-25
1610612754,"Indiana Pacers",2,1,1,0.5,96,106.1,107,116,118.4,-9.9,-11.3,0.723,1.94,21.2,0.273,0.691,0.489,0.156,0.536,0.573,100.2,98.75,82.29,199,0.499,1,6,12,12,2,19,27,23,7,9,3,21,18,19,19,12,13,25,15,2024-10-25
1610612746,"LA Clippers",1,0,1,0,53,98.9,100,104.5,102.7,-5.6,-2.7,0.643,1.23,17.3,0.293,0.864,0.539,0.195,0.5,0.537,102,102.34,85.28,113,0.448,19,20,12,20,19,26,8,17,13,26,18,13,1,5,29,21,21,13,23,2024-10-25
