"player","name","value","Average"
"Jaden Springer","Sporting News",20,19.3571428571429
"Jaden Springer","Tankathon",13,19.3571428571429
"Jaden Springer","USA Today",9,19.3571428571429
"Jaden Springer","Sam Vecenie",20,19.3571428571429
"Sharife Cooper","Average",20,19.7142857142857
"Sharife Cooper","Bleacher Report",10,19.7142857142857
"Sharife Cooper","CBS",28,19.7142857142857
"Sharife Cooper","Chad Ford",24,19.7142857142857
"Sharife Cooper","Dean On Draft",15,19.7142857142857
"Sharife Cooper","ESPN",17,19.7142857142857
"Sharife Cooper","John Hollinger",29,19.7142857142857
"Sharife Cooper","nbadraft.net",35,19.7142857142857
"Sharife Cooper","Kevin O'Connor",21,19.7142857142857
"Sharife Cooper","SB Nation",9,19.7142857142857
"Sharife Cooper","Sports Illustrated",31,19.7142857142857
"Sharife Cooper","Sporting News",7,19.7142857142857
"Sharife Cooper","Tankathon",18,19.7142857142857
"Sharife Cooper","USA Today",8,19.7142857142857
"Sharife Cooper","Sam Vecenie",24,19.7142857142857
"Ziaire Williams","Average",22,22
"Ziaire Williams","Bleacher Report",31,22
"Ziaire Williams","CBS",13,22
"Ziaire Williams","Chad Ford",12,22
"Ziaire Williams","Dean On Draft",NA,22
"Ziaire Williams","ESPN",24,22
"Ziaire Williams","John Hollinger",30,22
"Ziaire Williams","nbadraft.net",16,22
"Ziaire Williams","Kevin O'Connor",20,22
"Ziaire Williams","SB Nation",14,22
"Ziaire Williams","Sports Illustrated",22,22
"Ziaire Williams","Sporting News",31,22
"Ziaire Williams","Tankathon",32,22
"Ziaire Williams","USA Today",26,22
"Ziaire Williams","Sam Vecenie",15,22
"Trey Murphy","Average",23,23.2307692307692
"Trey Murphy","Bleacher Report",22,23.2307692307692
"Trey Murphy","CBS",25,23.2307692307692
"Trey Murphy","Chad Ford",17,23.2307692307692
"Trey Murphy","Dean On Draft",NA,23.2307692307692
"Trey Murphy","ESPN",18,23.2307692307692
"Trey Murphy","John Hollinger",35,23.2307692307692
"Trey Murphy","nbadraft.net",14,23.2307692307692
"Trey Murphy","Kevin O'Connor",13,23.2307692307692
"Trey Murphy","SB Nation",27,23.2307692307692
"Trey Murphy","Sports Illustrated",20,23.2307692307692
"Trey Murphy","Sporting News",54,23.2307692307692
"Trey Murphy","Tankathon",25,23.2307692307692
"Trey Murphy","USA Today",16,23.2307692307692
"Trey Murphy","Sam Vecenie",16,23.2307692307692
"Cameron Thomas","Average",24,23.6666666666667
"Cameron Thomas","Bleacher Report",9,23.6666666666667
"Cameron Thomas","CBS",18,23.6666666666667
"Cameron Thomas","Chad Ford",23,23.6666666666667
"Cameron Thomas","Dean On Draft",NA,23.6666666666667
"Cameron Thomas","ESPN",26,23.6666666666667
"Cameron Thomas","John Hollinger",33,23.6666666666667
"Cameron Thomas","nbadraft.net",23,23.6666666666667
"Cameron Thomas","Kevin O'Connor",10,23.6666666666667
"Cameron Thomas","SB Nation",NA,23.6666666666667
"Cameron Thomas","Sports Illustrated",28,23.6666666666667
"Cameron Thomas","Sporting News",27,23.6666666666667
"Cameron Thomas","Tankathon",31,23.6666666666667
"Cameron Thomas","USA Today",29,23.6666666666667
"Cameron Thomas","Sam Vecenie",27,23.6666666666667
"Isaiah Jackson","Average",25,24.7142857142857
"Isaiah Jackson","Bleacher Report",24,24.7142857142857
"Isaiah Jackson","CBS",22,24.7142857142857
"Isaiah Jackson","Chad Ford",25,24.7142857142857
"Isaiah Jackson","Dean On Draft",11,24.7142857142857
"Isaiah Jackson","ESPN",19,24.7142857142857
"Isaiah Jackson","John Hollinger",28,24.7142857142857
"Isaiah Jackson","nbadraft.net",32,24.7142857142857
"Isaiah Jackson","Kevin O'Connor",29,24.7142857142857
"Isaiah Jackson","SB Nation",30,24.7142857142857
"Isaiah Jackson","Sports Illustrated",27,24.7142857142857
"Isaiah Jackson","Sporting News",22,24.7142857142857
"Isaiah Jackson","Tankathon",20,24.7142857142857
"Isaiah Jackson","USA Today",31,24.7142857142857
"Isaiah Jackson","Sam Vecenie",26,24.7142857142857
"Roko Prkacin","Average",25,25.3333333333333
"Roko Prkacin","Bleacher Report",NA,25.3333333333333
"Roko Prkacin","CBS",NA,25.3333333333333
"Roko Prkacin","Chad Ford",NA,25.3333333333333
"Roko Prkacin","Dean On Draft",NA,25.3333333333333
"Roko Prkacin","ESPN",NA,25.3333333333333
"Roko Prkacin","John Hollinger",21,25.3333333333333
"Roko Prkacin","nbadraft.net",NA,25.3333333333333
"Roko Prkacin","Kevin O'Connor",NA,25.3333333333333
"Roko Prkacin","SB Nation",NA,25.3333333333333
"Roko Prkacin","Sports Illustrated",37,25.3333333333333
"Roko Prkacin","Sporting News",18,25.3333333333333
"Roko Prkacin","Tankathon",NA,25.3333333333333
"Roko Prkacin","USA Today",NA,25.3333333333333
"Roko Prkacin","Sam Vecenie",NA,25.3333333333333
"Miles McBride","Average",27,26.6153846153846
"Miles McBride","Bleacher Report",26,26.6153846153846
"Miles McBride","CBS",27,26.6153846153846
"Miles McBride","Chad Ford",26,26.6153846153846
"Miles McBride","Dean On Draft",NA,26.6153846153846
"Miles McBride","ESPN",32,26.6153846153846
"Miles McBride","John Hollinger",17,26.6153846153846
"Miles McBride","nbadraft.net",18,26.6153846153846
"Miles McBride","Kevin O'Connor",30,26.6153846153846
"Miles McBride","SB Nation",23,26.6153846153846
"Miles McBride","Sports Illustrated",33,26.6153846153846
"Miles McBride","Sporting News",39,26.6153846153846
"Miles McBride","Tankathon",39,26.6153846153846
"Miles McBride","USA Today",14,26.6153846153846
"Miles McBride","Sam Vecenie",22,26.6153846153846
"Tre Mann","Average",28,28.0769230769231
"Tre Mann","Bleacher Report",15,28.0769230769231
"Tre Mann","CBS",26,28.0769230769231
"Tre Mann","Chad Ford",34,28.0769230769231
"Tre Mann","Dean On Draft",NA,28.0769230769231
"Tre Mann","ESPN",22,28.0769230769231
"Tre Mann","John Hollinger",40,28.0769230769231
"Tre Mann","nbadraft.net",26,28.0769230769231
"Tre Mann","Kevin O'Connor",28,28.0769230769231
"Tre Mann","SB Nation",24,28.0769230769231
"Tre Mann","Sports Illustrated",23,28.0769230769231
"Tre Mann","Sporting News",23,28.0769230769231
"Tre Mann","Tankathon",43,28.0769230769231
"Tre Mann","USA Today",28,28.0769230769231
"Tre Mann","Sam Vecenie",33,28.0769230769231
"Nah'Shon Hyland","Average",29,29.0769230769231
"Nah'Shon Hyland","Bleacher Report",32,29.0769230769231
"Nah'Shon Hyland","CBS",29,29.0769230769231
"Nah'Shon Hyland","Chad Ford",30,29.0769230769231
"Nah'Shon Hyland","Dean On Draft",NA,29.0769230769231
"Nah'Shon Hyland","ESPN",30,29.0769230769231
"Nah'Shon Hyland","John Hollinger",34,29.0769230769231
"Nah'Shon Hyland","nbadraft.net",21,29.0769230769231
"Nah'Shon Hyland","Kevin O'Connor",34,29.0769230769231
"Nah'Shon Hyland","SB Nation",22,29.0769230769231
"Nah'Shon Hyland","Sports Illustrated",34,29.0769230769231
"Nah'Shon Hyland","Sporting News",26,29.0769230769231
